Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2015,Capital Projects,Capital Projects,Ashland Youth Center,Fixed Assets,Fixed Assets,Total of Fixed Assets,1273956.00,1273956.00
2014,Capital Projects,Capital Projects,Ashland Youth Center,Fixed Assets,Fixed Assets,Total of Fixed Assets,1646457.00,1646457.00
2013,Capital Projects,Capital Projects,Ashland Youth Center,Fixed Assets,Fixed Assets,Total of Fixed Assets,6755232.00,6755232.00
2015,Capital Projects,Capital Projects,Capital Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,40000000.00,40000000.00
2014,Capital Projects,Capital Projects,East County Courthouse,Fixed Assets,Fixed Assets,Total of Fixed Assets,120729099.00,120729099.00
2013,Capital Projects,Capital Projects,East County Courthouse,Fixed Assets,Fixed Assets,Total of Fixed Assets,121558581.00,121558581.00
2015,Capital Projects,Capital Projects,East County Courthouse,Fixed Assets,Fixed Assets,Total of Fixed Assets,128472648.00,128472648.00
2013,Capital Projects,Capital Projects,GSA-Construction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,750000.00,750000.00
2014,Capital Projects,Capital Projects,GSA-Construction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,750000.00,750000.00
2015,Capital Projects,Capital Projects,GSA-Construction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,750000.00,750000.00
2014,Capital Projects,Capital Projects,GSA-Construction,Fixed Assets,Fixed Assets,Total of Fixed Assets,2837971.00,2837971.00
2014,Capital Projects,Capital Projects,GSA-Construction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3100000.00,3100000.00
2013,Capital Projects,Capital Projects,GSA-Construction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3100000.00,3100000.00
2015,Capital Projects,Capital Projects,GSA-Construction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3350000.00,3350000.00
2013,Capital Projects,Capital Projects,GSA-Construction,Fixed Assets,Fixed Assets,Total of Fixed Assets,4137341.00,4137341.00
2015,Capital Projects,Capital Projects,GSA-Construction,Fixed Assets,Fixed Assets,Total of Fixed Assets,6607657.00,6607657.00
2014,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1000000.00,1000000.00
2015,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3000000.00,3000000.00
2013,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Other Charges,Other Charges,Total of Other Charges,7850000.00,7850000.00
2014,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Other Charges,Other Charges,Total of Other Charges,15000000.00,15000000.00
2015,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Other Charges,Other Charges,Total of Other Charges,15000000.00,15000000.00
2014,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,115068767.00,115068767.00
2013,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,169235890.00,169235890.00
2013,Capital Projects,Capital Projects,Misc County Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,448740.00,448740.00
2014,Capital Projects,Capital Projects,Misc County Projects,Other Charges,Other Charges,Total of Other Charges,995000.00,995000.00
2015,Capital Projects,Capital Projects,Misc County Projects,Other Charges,Other Charges,Total of Other Charges,3121700.00,3121700.00
2014,Capital Projects,Capital Projects,Misc County Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,22942389.00,22942389.00
2015,Capital Projects,Capital Projects,Misc County Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,88589641.00,88589641.00
2015,Capital Projects,Capital Projects,Peralta Oaks Renovation Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,13978384.00,13978384.00
2014,Capital Projects,Capital Projects,Peralta Oaks Renovation Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,14887941.00,14887941.00
2013,Capital Projects,Capital Projects,Peralta Oaks Renovation Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,18000000.00,18000000.00
2013,Capital Projects,Capital Projects,San Lorenzo Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,896565.00,896565.00
2015,Capital Projects,Capital Projects,San Lorenzo Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,7885844.00,7885844.00
2014,Capital Projects,Capital Projects,San Lorenzo Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,8121335.00,8121335.00
2013,Capital Projects,Capital Projects,Surplus Property Authority,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,28671.00,28671.00
2014,Capital Projects,Capital Projects,Surplus Property Authority,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,58515.00,58515.00
2015,Capital Projects,Capital Projects,Surplus Property Authority,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,70082.00,70413.00
2014,Capital Projects,Capital Projects,Surplus Property Authority,Fixed Assets,Fixed Assets,Total of Fixed Assets,225000.00,225000.00
2013,Capital Projects,Capital Projects,Surplus Property Authority,Fixed Assets,Fixed Assets,Total of Fixed Assets,225000.00,225000.00
2015,Capital Projects,Capital Projects,Surplus Property Authority,Fixed Assets,Fixed Assets,Total of Fixed Assets,225000.00,225000.00
2013,Capital Projects,Capital Projects,Surplus Property Authority,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,455077.00,455077.00
2014,Capital Projects,Capital Projects,Surplus Property Authority,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,459006.00,459006.00
2015,Capital Projects,Capital Projects,Surplus Property Authority,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,479355.00,479355.00
2015,Capital Projects,Capital Projects,Surplus Property Authority,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1522780.00,1522449.00
2014,Capital Projects,Capital Projects,Surplus Property Authority,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1722449.00,1722449.00
2013,Capital Projects,Capital Projects,Surplus Property Authority,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1822449.00,1822449.00
2014,Capital Projects,Capital Projects,Surplus Property Authority,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25148036.00,25148036.00
2013,Capital Projects,Capital Projects,Surplus Property Authority,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,31506809.00,31506809.00
2015,Capital Projects,Capital Projects,Surplus Property Authority,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,41584789.00,41584789.00
2013,Contingency & Reserves,Contingency,Contingency & Reserves,Reserve/Desg,Other Financing Uses,Total of Other Financing Uses,5000000.00,5000000.00
2015,Contingency & Reserves,Contingency,Contingency & Reserves,Reserve/Desg,Other Financing Uses,Total of Other Financing Uses,5600000.00,2599979.00
2014,Contingency & Reserves,Contingency,Contingency & Reserves,Reserve/Desg,Other Financing Uses,Total of Other Financing Uses,10000000.00,9700000.00
2014,Contingency & Reserves,Contingency,Contingency & Reserves,Contingency,Other Financing Uses,Total of Other Financing Uses,38250505.00,38085100.00
